"",Set,Count
2041,"(10, 3)",73
2249,"(10, 8)",73
1487,"(33, 5)",73
5945,"(29, 6)",73
2747,"(35, 6)",73
3131,"(28, 49)",73
2748,"(45, 6)",73
1277,"(1, 49)",73
2245,"(10, 15)",73
3175,"(23, 9)",73
5859,"(13, 9)",73
9469,"(24, 7)",73
6251,"(36, 41)",73
6031,"(10, 37)",73
9197,"(17, 46)",73
14001,"(19, 29)",73
13,"(37, 8)",73
16653,"(33, 49)",73
852,"(25, 43)",73
1015,"(27, 44)",73
3916,"(20, 43)",73
5689,"(1, 4)",73
6415,"(17, 3)",73
5163,"(31, 6)",73
8299,"(19, 3)",73
3969,"(43, 7)",73
5819,"(14, 6)",73
959,"(39, 8)",73
3915,"(20, 42)",73
8688,"(14, 21)",73
9468,"(10, 7)",72
175,"(14, 8)",72
4227,"(18, 43)",72
5161,"(23, 35)",72
349,"(28, 47)",72
345,"(19, 47)",72
4095,"(28, 45)",72
1833,"(15, 26)",72
7895,"(39, 6)",72
4497,"(26, 36)",72
688,"(4, 46)",72
1842,"(33, 38)",72
8096,"(29, 48)",72
3270,"(16, 26)",72
2496,"(22, 43)",72
14,"(46, 8)",72
4496,"(26, 28)",72
1989,"(13, 5)",72
738,"(15, 19)",72
1831,"(15, 18)",72
2595,"(1, 3)",72
733,"(1, 15)",72
3082,"(14, 23)",72
233,"(2, 20)",72
797,"(18, 42)",72
237,"(20, 40)",72
1893,"(38, 4)",72
5515,"(12, 27)",72
9716,"(22, 7)",72
1530,"(16, 23)",72
16652,"(24, 49)",72
8452,"(12, 3)",72
2697,"(25, 9)",72
1889,"(31, 39)",72
5602,"(27, 45)",72
4676,"(34, 43)",72
66,"(36, 42)",72
6505,"(30, 45)",72
291,"(14, 48)",72
1533,"(23, 30)",72
7584,"(14, 17)",71
3686,"(10, 48)",71
2094,"(13, 8)",71
4457,"(19, 23)",71
1124,"(20, 48)",71
9822,"(32, 39)",71
8646,"(29, 46)",71
